Rank,Country,Total Cases,New Cases,Deaths,New Deaths,Recovered,Active Cases,Critical
,,,,,,,,
,,,,,,,,
,,,,,,,,
1,USA,"34,807,813",,"623,435",,"29,304,451",,"4,879,927"
,,,,,,,,
2,India,"30,946,074","+1,125","411,439",,"30,104,720","+7,624","429,915"
3,Brazil,"19,152,065",,"535,924",,"17,770,617",,"845,524"
,,,,,,,,
4,Russia,"5,857,002","+23,827","145,278",+786,"5,257,483","+21,269","454,241"
5,France,"5,820,849",,"111,407",,"5,650,915",,"58,527"
6,Turkey,"5,493,244",,"50,324",,"5,360,012",,"82,908"
7,UK,"5,191,459",,"128,481",,"4,368,126",,"694,852"
8,Argentina,"4,682,960",,"99,640",,"4,314,593",,"268,727"
9,Colombia,"4,548,142",,"113,839",,"4,299,931",,"134,372"
10,Italy,"4,273,693",,"127,808",,"4,105,236",,"40,649"
11,Spain,"4,015,084",,"81,033",,"3,652,580",,"281,471"
12,Germany,"3,745,287",,"91,799",,"3,636,800",+900,"16,688"
13,Iran,"3,417,029",,"86,207",,"3,056,160",,"274,662"
14,Poland,"2,881,046",+86,"75,179",+6,"2,652,604",,"153,263"
15,Indonesia,"2,615,529",,"68,219",,"2,139,601",,"407,709"
16,Mexico,"2,604,711","+11,137","235,277",+219,"2,056,317","+4,960","313,117"
17,Ukraine,"2,242,245",+547,"52,665",+25,"2,179,076",+797,"10,504"
18,South Africa,"2,219,316",,"65,142",,"1,961,448",,"192,726"
19,Peru,"2,083,567",,"194,606",,N/A,N/A,N/A
20,Netherlands,"1,744,700",,"17,769",,"1,654,975",,"71,956"
21,Czechia,"1,670,073",+317,"30,335",,"1,637,367",+3,"2,371"
22,Chile,"1,590,887",,"34,016",,"1,540,595",,"16,276"
23,Philippines,"1,485,457","+3,806","26,232",+140,"1,414,817","+6,296","44,408"
24,Iraq,"1,447,557",,"17,630",,"1,320,260",,"109,667"
25,Canada,"1,421,447",,"26,450",,"1,390,043",,"4,954"
26,Belgium,"1,098,332","+1,303","25,207",+2,"1,050,567",,"22,558"
27,Sweden,"1,093,209",,"14,606",,"1,069,982",,"8,621"
28,Romania,"1,081,326",,"34,233",,"1,046,447",,646
29,Bangladesh,"1,047,155",,"16,842",,"889,167",,"141,146"
30,Pakistan,"978,847","+1,980","22,642",+24,"915,343",+738,"40,862"
31,Portugal,"912,406",,"17,173",,"850,034",,"45,199"
32,Malaysia,"855,949",,"6,385",,"753,328",,"96,236"
33,Israel,"847,969",+444,"6,440",+1,"836,357",+102,"5,172"
34,Japan,"824,589","+2,387","14,971",+12,"789,905","+1,774","19,713"
35,Hungary,"808,612",+56,"30,013",+3,"741,896",+233,"36,703"
36,Jordan,"758,291",,"9,855",,"741,031",,"7,405"
37,Serbia,"717,812",,"7,076",,"709,023",,"1,713"
38,Switzerland,"706,248",,"10,900",,"689,157",,"6,191"
39,Nepal,"658,778",,"9,412",,"623,105",,"26,261"
40,UAE,"653,284",,"1,876",,"631,294",,"20,114"
41,Austria,"652,354",+332,"10,726",+2,"639,154",+119,"2,474"
42,Lebanon,"548,455",,"7,879",,"534,725",,"5,851"
43,Morocco,"545,016",,"9,395",,"526,168",,"9,453"
